2026-05-10 23:58:43,124 [INFO] === UmaEdge Model Training ===
2026-05-10 23:58:43,124 [INFO] 🚫 ODDS-FREE MODE — excluding all odds-derived features
2026-05-10 23:58:43,124 [INFO] No cache found. Building features from scratch...
2026-05-10 23:58:43,124 [INFO] Loading race data...
2026-05-10 23:59:46,334 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 23:59:46,353 [INFO] Loading full history for rolling features...
2026-05-11 00:00:22,786 [INFO] Pre-indexing history for fast lookups...
2026-05-11 00:00:23,480 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-11 00:00:23,480 [INFO] Building features for 196764 entries...
2026-05-11 00:01:09,647 [INFO] Pre-building point-in-time speed baseline index...
2026-05-11 00:01:10,008 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-11 00:52:53,208 [INFO]   [68,000/196,764] 35% | 22 entries/s | ETA 5964s
2026-05-11 00:53:42,204 [INFO]   [69,000/196,764] 35% | 22 entries/s | ETA 5923s
2026-05-11 00:54:32,097 [INFO]   [70,000/196,764] 36% | 22 entries/s | ETA 5883s
2026-05-11 00:55:21,780 [INFO]   [71,000/196,764] 36% | 22 entries/s | ETA 5842s
2026-05-11 00:56:10,193 [INFO]   [72,000/196,764] 37% | 22 entries/s | ETA 5799s
2026-05-11 00:57:00,202 [INFO]   [73,000/196,764] 37% | 21 entries/s | ETA 5759s
2026-05-11 00:57:49,500 [INFO]   [74,000/196,764] 38% | 21 entries/s | ETA 5717s
2026-05-11 00:58:39,841 [INFO]   [75,000/196,764] 38% | 21 entries/s | ETA 5676s
2026-05-11 00:59:30,944 [INFO]   [76,000/196,764] 39% | 21 entries/s | ETA 5637s
2026-05-11 01:00:20,176 [INFO]   [77,000/196,764] 39% | 21 entries/s | ETA 5594s
2026-05-11 01:01:09,823 [INFO]   [78,000/196,764] 40% | 21 entries/s | ETA 5552s
2026-05-11 01:02:00,630 [INFO]   [79,000/196,764] 40% | 21 entries/s | ETA 5511s
2026-05-11 01:02:50,500 [INFO]   [80,000/196,764] 41% | 21 entries/s | ETA 5469s
2026-05-11 01:03:39,757 [INFO]   [81,000/196,764] 41% | 21 entries/s | ETA 5426s
2026-05-11 01:04:30,496 [INFO]   [82,000/196,764] 42% | 21 entries/s | ETA 5384s
2026-05-11 01:05:19,916 [INFO]   [83,000/196,764] 42% | 21 entries/s | ETA 5341s
2026-05-11 01:06:09,605 [INFO]   [84,000/196,764] 43% | 21 entries/s | ETA 5297s
2026-05-11 01:06:59,984 [INFO]   [85,000/196,764] 43% | 21 entries/s | ETA 5255s
2026-05-11 01:07:48,604 [INFO]   [86,000/196,764] 44% | 21 entries/s | ETA 5210s
2026-05-11 01:08:37,745 [INFO]   [87,000/196,764] 44% | 21 entries/s | ETA 5166s
